cik,company_name,sector,feature_year,liabilities_to_assets,operating_cash_flow_to_assets,operating_margin,log_assets,next_year_financial_pressure,outcome_year,outcome_label
0000004127,SKYWORKS SOLUTIONS INC,Technology / Software / Electronics,2022,0.3836913160089251,0.1605400166783114,0.2783702488378452,22.90636895201111,0.0,2023,No Pressure
0000004281,HOWMET AEROSPACE INC.,Industrial / Manufacturing,2021,0.656717878461689,0.0439377629905078,0.1504424778761062,23.04751456967434,0.0,2022,No Pressure
0000004281,HOWMET AEROSPACE INC.,Industrial / Manufacturing,2022,0.6488542174549,0.0714773281326182,0.1622814762493378,23.05103122856827,0.0,2023,No Pressure
0000004447,HESS CORP,Industrial / Manufacturing,2021,0.6575188886180843,0.1408725322934438,,23.744422162889304,,2022,Unknown
0000004447,HESS CORP,Industrial / Manufacturing,2022,0.6083890297303526,0.181793039870938,,23.80034765624282,,2023,Unknown
0000004904,AMERICAN ELECTRIC POWER CO INC,Energy / Capital-intensive,2021,0.7408025897498195,0.0438001247879802,0.203150309671272,25.196830774114847,0.0,2022,No Pressure
0000004904,AMERICAN ELECTRIC POWER CO INC,Energy / Capital-intensive,2022,0.7414308854020674,0.0565746650775547,0.1773313984571908,25.26089994695907,0.0,2023,No Pressure
0000005981,AMERICAN VANGUARD CORP,Industrial / Manufacturing,2021,0.4630373400945027,0.1244107986631324,0.0555711186771825,20.3582130408901,0.0,2022,No Pressure
0000005981,AMERICAN VANGUARD CORP,Industrial / Manufacturing,2022,0.4906066668227059,0.0786231280453468,0.066683070462505,20.40349161073286,0.0,2023,No Pressure
0000006176,AMPCO PITTSBURGH CORP,Technology / Software / Electronics,2021,0.8109556207169215,-0.0326708289404322,-0.0394758204801113,20.000961695455885,0.0,2022,No Pressure
0000006176,AMPCO PITTSBURGH CORP,Technology / Software / Electronics,2022,0.7744592998046836,-0.0541157657317204,0.0071196266424732,20.035651324910663,1.0,2023,Pressure
0000006281,ANALOG DEVICES INC,Technology / Software / Electronics,2021,,0.0522737144712792,0.2312291429987841,24.6806841266644,0.0,2022,No Pressure
0000006281,ANALOG DEVICES INC,Technology / Software / Electronics,2022,,0.0889700381791308,0.2729076765990345,24.641317632662563,0.0,2023,No Pressure
0000006845,"APOGEE ENTERPRISES, INC.",Industrial / Manufacturing,2021,,0.1131604763347498,0.0167773104095429,20.60432801090119,0.0,2022,No Pressure
0000006845,"APOGEE ENTERPRISES, INC.",Industrial / Manufacturing,2022,,0.1121913116625608,0.0873105776652395,20.6348334518938,0.0,2023,No Pressure
0000006951,APPLIED MATERIALS INC /DE,Technology / Software / Electronics,2021,0.5257696030977734,0.2107260406582768,0.2987035511425226,23.97460885199084,0.0,2022,No Pressure
0000006951,APPLIED MATERIALS INC /DE,Technology / Software / Electronics,2022,0.5437401781037192,0.2020130210282122,0.3020360674810937,24.008902711342696,0.0,2023,No Pressure
0000006955,ENERPAC TOOL GROUP CORP,Technology / Software / Electronics,2021,0.4974708837703764,0.0660569316315695,0.0966840691559792,20.525116073596426,0.0,2022,No Pressure
0000006955,ENERPAC TOOL GROUP CORP,Technology / Software / Electronics,2022,0.5792870045635088,0.0683153046564691,0.0536743093327824,20.44528588104683,0.0,2023,No Pressure
0000007039,TRECORA RESOURCES,Industrial / Manufacturing,2021,0.3187538325270831,0.0149042719901887,-0.0113095456379038,19.497524477554016,,2022,Unknown
0000007084,ARCHER-DANIELS-MIDLAND CO,Industrial / Manufacturing,2021,,0.1174825423970357,,24.75104315491421,,2022,Unknown
0000007084,ARCHER-DANIELS-MIDLAND CO,Industrial / Manufacturing,2022,,0.0581858333054505,,24.813836620765667,,2023,Unknown
0000007332,SOUTHWESTERN ENERGY CO,Energy / Capital-intensive,2021,,0.1150405131667792,0.3952302384880756,23.195424913996312,0.0,2022,No Pressure
0000007332,SOUTHWESTERN ENERGY CO,Energy / Capital-intensive,2022,,0.2440043323533962,0.4902013064924677,23.28250662386448,1.0,2023,Pressure
0000007431,ARMSTRONG WORLD INDUSTRIES INC,Industrial / Manufacturing,2021,,0.1094736842105263,0.2349539128863184,21.25975920804577,0.0,2022,No Pressure
0000007431,ARMSTRONG WORLD INDUSTRIES INC,Industrial / Manufacturing,2022,,0.1081081081081081,0.2260157327061876,21.246336187721536,0.0,2023,No Pressure
0000007536,ARROW ELECTRONICS INC,Consumer / Retail,2021,,0.0214472187612935,0.0451553553732518,23.695501207815184,0.0,2022,No Pressure
0000007536,"ARROW ELECTRONICS, INC",Consumer / Retail,2022,,-0.0015198604689332,0.0557178775739592,23.80348547990695,0.0,2023,No Pressure
0000008063,ASTRONICS CORP,Industrial / Manufacturing,2021,0.5787424196159162,-0.0090784025951426,-0.0644492794015841,20.22755540263093,1.0,2022,Pressure
0000008063,ASTRONICS CORP,Industrial / Manufacturing,2022,0.6099058421445424,-0.0460334519723396,-0.0561681379862178,20.237183232630425,1.0,2023,Pressure
0000008146,"ASTRONOVA, INC.",Technology / Software / Electronics,2021,0.2952720629811665,0.012126484276456,0.036227442969016,18.56005131409923,0.0,2022,No Pressure
0000008146,"ASTRONOVA, INC.",Technology / Software / Electronics,2022,0.3939457067532523,-0.021090893417716,0.0381892553691581,18.751472599140094,0.0,2023,No Pressure
0000008670,AUTOMATIC DATA PROCESSING INC,Technology / Software / Electronics,2021,0.8837439130657645,0.0634230355220667,,24.6104324663962,,2022,Unknown
0000008670,AUTOMATIC DATA PROCESSING INC,Technology / Software / Electronics,2022,0.9488601228511356,0.0491452110572364,,24.867482517512787,,2023,Unknown
0000008818,AVERY DENNISON CORP,Industrial / Manufacturing,2021,,0.1313161724120628,,22.79915106254892,,2022,Unknown
0000008818,AVERY DENNISON CORP,Industrial / Manufacturing,2022,,0.120872901075404,,22.796500656842504,,2023,Unknown
0000008858,AVNET INC,Consumer / Retail,2021,0.5424099835279497,0.0101898823383364,0.0144055604906535,22.91216944651952,0.0,2022,No Pressure
0000008858,AVNET INC,Consumer / Retail,2022,0.5964049588527042,-0.0211107786932744,0.0386254073719284,23.06396834246984,0.0,2023,No Pressure
0000008868,AVON PRODUCTS INC,Industrial / Manufacturing,2021,1.3703527168732126,-0.1128347343790623,-0.0171537670729916,21.559560527158155,1.0,2022,Pressure
0000008868,AVON PRODUCTS INC,Industrial / Manufacturing,2022,1.5741777304898923,-0.0754498774112966,-0.064495161057345,21.49416078659088,,2023,Unknown
0000008947,AZZ INC,Technology / Software / Electronics,2021,0.410989843145977,0.0759116279562376,0.1255616707878014,20.84815953272044,0.0,2022,No Pressure
0000008947,AZZ INC,Industrial / Manufacturing,2022,0.6158145091625894,0.041157265047295,0.131181302596081,21.52143902767346,0.0,2023,No Pressure
0000009092,BADGER METER INC,Industrial / Manufacturing,2021,,0.1648587651511441,0.1558260325654495,20.089929772808865,0.0,2022,No Pressure
0000009092,BADGER METER INC,Industrial / Manufacturing,2022,,0.1367240032700602,0.1543492559692203,20.21750569692752,0.0,2023,No Pressure
0000009326,BALCHEM CORP,Industrial / Manufacturing,2021,0.2687428345110791,0.1338369499510141,0.1595723777663471,20.90502473631169,0.0,2022,No Pressure
0000009326,BALCHEM CORP,Industrial / Manufacturing,2022,0.4224210101248867,0.0852785328763345,0.1540667134995405,21.20847330054999,0.0,2023,No Pressure
0000009389,BALL CORP,Industrial / Manufacturing,2021,0.8130770011159582,0.0892766561834229,0.0934762146115415,23.704594880240386,0.0,2022,No Pressure
0000009389,BALL CORP,Industrial / Manufacturing,2022,0.8228439399266664,0.0151187904967602,0.0790931005277216,23.71443772779429,0.0,2023,No Pressure
0000009984,BARNES GROUP INC,Industrial / Manufacturing,2021,,0.0651213511227016,0.119171050311158,21.66982191790395,0.0,2022,No Pressure
0000009984,BARNES GROUP INC,Industrial / Manufacturing,2022,,0.0313038326573394,0.045265431883525,21.60443910622472,0.0,2023,No Pressure
0000010254,EARTHSTONE ENERGY INC,Energy / Capital-intensive,2021,,0.148341618654212,0.4529588245246554,21.165620096716776,0.0,2022,No Pressure
0000010254,EARTHSTONE ENERGY INC,Energy / Capital-intensive,2022,,0.2587694268376525,0.5699216708334464,22.093786698178903,,2023,Unknown
0000010329,BASSETT FURNITURE INDUSTRIES INC,Industrial / Manufacturing,2021,,0.0345373049376274,0.0534371698586326,19.8597098624277,,2022,Unknown
0000010329,BASSETT FURNITURE INDUSTRIES INC,Industrial / Manufacturing,2022,,-0.0073103553521892,,19.822535907851645,1.0,2023,Pressure
0000010456,BAXTER INTERNATIONAL INC,Industrial / Manufacturing,2021,0.7279019122341219,0.0662868052862384,0.1337609511889862,24.23543794508069,0.0,2022,No Pressure
0000010456,BAXTER INTERNATIONAL INC,Industrial / Manufacturing,2022,0.7916003818008273,0.0428111853501608,-0.1285648117514722,24.06566817213341,0.0,2023,No Pressure
0000010795,BECTON DICKINSON & CO,Industrial / Manufacturing,2021,,0.0862696320499016,0.1382358751481627,24.70976531806965,0.0,2022,No Pressure
0000010795,BECTON DICKINSON & CO,Industrial / Manufacturing,2022,,0.0466807722824649,0.1209326974032856,24.69231169148936,0.0,2023,No Pressure
0000012040,FLANIGANS ENTERPRISES INC,Consumer / Retail,2021,0.5263355260074062,0.1097560975609756,0.0629975165140888,18.6675564545742,0.0,2022,No Pressure
0000012040,FLANIGANS ENTERPRISES INC,Consumer / Retail,2022,0.5027526916714127,0.0712038619043744,0.0438178230845116,18.80928450176515,0.0,2023,No Pressure
0000012208,"BIO-RAD LABORATORIES, INC.",Industrial / Manufacturing,2021,0.2311379603556409,0.0369334254811106,0.1674670535440857,23.6011035374302,0.0,2022,No Pressure
0000012208,"BIO-RAD LABORATORIES, INC.",Industrial / Manufacturing,2022,0.2878469960670038,0.0144017042045033,0.1722245239448742,23.3260789222582,0.0,2023,No Pressure
0000012927,BOEING CO,Industrial / Manufacturing,2021,1.1071511057220391,-0.0246550031757029,-0.0465915293966541,25.65451154338037,0.0,2022,No Pressure
0000012927,BOEING CO,Industrial / Manufacturing,2022,1.1155944566010212,0.0256163384390955,-0.0532518616382416,25.643976423521973,0.0,2023,No Pressure
0000014177,BRIDGFORD FOODS CORP,Industrial / Manufacturing,2021,0.521793481727151,-0.0382167230052937,-0.0342677702449777,18.870417894714592,0.0,2022,No Pressure
0000014177,BRIDGFORD FOODS CORP,Industrial / Manufacturing,2022,0.2836607163109306,-0.0444008437861501,0.2428412398739366,18.98796987916956,0.0,2023,No Pressure
0000014272,BRISTOL MYERS SQUIBB CO,Industrial / Manufacturing,2021,0.6706185849936879,0.1482609729769288,,25.41749031176716,,2022,Unknown
0000014272,BRISTOL MYERS SQUIBB CO,Industrial / Manufacturing,2022,0.6785994629208841,0.1349514563106796,,25.296119421468287,,2023,Unknown
0000014693,BROWN FORMAN CORP,Industrial / Manufacturing,2021,0.5927629561484208,0.1252683226004293,0.3368968506212077,22.598446914466862,0.0,2022,No Pressure
0000014693,BROWN FORMAN CORP,Industrial / Manufacturing,2022,0.57053193158638,0.1468696061509493,0.3061276379354182,22.57533615343548,0.0,2023,No Pressure
0000014707,CALERES INC,Industrial / Manufacturing,2021,,0.0913491105391431,0.0740951553929213,21.335162831666054,0.0,2022,No Pressure
0000014707,CALERES INC,Industrial / Manufacturing,2022,,0.0685439255267709,0.0722092436402889,21.331112177259698,0.0,2023,No Pressure
0000014930,BRUNSWICK CORP,Technology / Software / Electronics,2021,,0.1058064516129032,0.1390475864664226,22.414283736557262,0.0,2022,No Pressure
0000014930,BRUNSWICK CORP,Technology / Software / Electronics,2022,,0.0927182699761125,0.1391327324506033,22.56719072031334,0.0,2023,No Pressure
0000015615,MASTEC INC,Industrial / Manufacturing,2021,0.6427860391920514,0.1113650096266278,,22.686369189441937,,2022,Unknown
0000015615,MASTEC INC,Industrial / Manufacturing,2022,0.7050349075604155,0.0379088756699883,,22.95255513568096,,2023,Unknown
0000016040,CABOT CORP,Industrial / Manufacturing,2021,,0.0777374470659407,0.1331768847169258,21.919004836647723,0.0,2022,No Pressure
0000016040,CABOT CORP,Industrial / Manufacturing,2022,,0.0283687943262411,0.0900254570701226,21.98314627349433,0.0,2023,No Pressure
0000016058,CACI INTERNATIONAL INC /DE/,Technology / Software / Electronics,2021,0.5681922606090495,0.0959460965735701,0.0892519773300894,22.543349041990066,0.0,2022,No Pressure
0000016058,CACI INTERNATIONAL INC /DE/,Technology / Software / Electronics,2022,0.5393959149736983,0.1124612353609231,0.0800154185522714,22.614784815590987,0.0,2023,No Pressure
0000016732,CAMPBELL SOUP CO,Industrial / Manufacturing,2021,0.7312084540651099,0.0882052156127492,0.1822793770646531,23.1857564475353,0.0,2022,No Pressure
0000016732,CAMPBELL SOUP CO,Industrial / Manufacturing,2022,0.7197275479313825,0.0993104608139926,0.1358327493576267,23.19913174216635,0.0,2023,No Pressure
0000016918,"CONSTELLATION BRANDS, INC.",Industrial / Manufacturing,2021,0.534038784334656,0.104634163321189,0.264344099674629,23.975800784145346,0.0,2022,No Pressure
0000016918,"CONSTELLATION BRANDS, INC.",Industrial / Manufacturing,2022,0.6458602806713081,0.1117860053604083,0.3007532319150287,23.928541598824857,0.0,2023,No Pressure
0000017843,CARPENTER TECHNOLOGY CORP,Industrial / Manufacturing,2021,0.5314014539579968,0.0841410877759827,-0.1684738411493629,21.81223174889928,0.0,2022,No Pressure
0000017843,CARPENTER TECHNOLOGY CORP,Industrial / Manufacturing,2022,0.5462606145346656,0.0020461753572281,-0.0135598758372814,21.799052935313608,0.0,2023,No Pressure
0000018230,CATERPILLAR INC,Technology / Software / Electronics,2021,0.8005145362530649,0.0869397171258439,0.1349394753879657,25.139609353713105,0.0,2022,No Pressure
0000018230,CATERPILLAR INC,Technology / Software / Electronics,2022,0.8060725138205826,0.094773196002099,0.1330035169199185,25.129289720562365,0.0,2023,No Pressure
0000018255,CATO CORP,Consumer / Retail,2021,,0.0943376577474967,,20.267190360677173,,2022,Unknown
0000018255,CATO CORP,Consumer / Retail,2022,,0.0241710959250822,,20.13112169381069,,2023,Unknown
0000018498,GENESCO INC,Consumer / Retail,2021,0.6143214994696239,0.1535562086653918,0.0642285734103358,21.16929626727732,0.0,2022,No Pressure
0000018498,GENESCO INC,Consumer / Retail,2022,0.5832496810685884,-0.1132113818347104,0.0390965948925064,21.09925132703121,0.0,2023,No Pressure
0000019745,CHESAPEAKE UTILITIES CORP,Energy / Capital-intensive,2021,,0.0711646915246287,0.2300339668191898,21.472258709464946,0.0,2022,No Pressure
0000019745,CHESAPEAKE UTILITIES CORP,Energy / Capital-intensive,2022,,0.0717288243943554,0.2099781990409928,21.5185349450444,0.0,2023,No Pressure
0000021076,CLOROX CO /DE/,Industrial / Manufacturing,2021,0.9065361540890432,0.201452478686454,,22.569197785220737,,2022,Unknown
0000021076,CLOROX CO /DE/,Industrial / Manufacturing,2022,0.8816174082494317,0.1276388437804482,,22.54101788661111,,2023,Unknown
0000021344,COCA COLA CO,Industrial / Manufacturing,2021,,0.1338046081777137,0.2666666666666666,25.270319503209425,0.0,2022,No Pressure
0000021344,COCA COLA CO,Industrial / Manufacturing,2022,,0.1187758050084624,0.2536740768300623,25.253313690348065,0.0,2023,No Pressure
0000021510,COHERENT INC,Industrial / Manufacturing,2021,,0.0386133948849348,-0.0660269666305426,21.359276368664844,,2022,Unknown
0000021535,COHU INC,Industrial / Manufacturing,2021,,0.0776215922557114,0.227135730500195,20.95361854056392,0.0,2022,No Pressure
0000021535,COHU INC,Industrial / Manufacturing,2022,,0.0919502303216355,0.1544794069699486,20.92817535489348,0.0,2023,No Pressure
0000021665,COLGATE PALMOLIVE CO,Industrial / Manufacturing,2021,0.935438829787234,0.2210771276595744,0.1912634177142529,23.4339791555346,0.0,2022,No Pressure
0000021665,COLGATE PALMOLIVE CO,Industrial / Manufacturing,2022,0.9487635878202276,0.1624817239844892,0.1610174208270718,23.478899124850347,0.0,2023,No Pressure
0000022444,COMMERCIAL METALS CO,Industrial / Manufacturing,2021,0.5052227243535918,0.0492541937119489,,22.257693739959628,,2022,Unknown
0000022444,COMMERCIAL METALS CO,Industrial / Manufacturing,2022,0.4730776377912105,0.1122825025448823,,22.55376946364569,,2023,Unknown
0000023111,COMPUTER TASK GROUP INC,Technology / Software / Electronics,2021,0.4985663767561885,0.0393503031847674,0.0324814866742292,19.053727545569064,0.0,2022,No Pressure
0000023111,COMPUTER TASK GROUP INC,Technology / Software / Electronics,2022,0.4164762497315809,0.0654391886311454,0.0340716131413805,19.01742164971529,,2023,Unknown
0000023194,COMSTOCK RESOURCES INC,Energy / Capital-intensive,2021,0.7455611110765988,0.1840108957808196,0.486712810620674,22.26404560779383,0.0,2022,No Pressure
0000023194,COMSTOCK RESOURCES INC,Energy / Capital-intensive,2022,0.5998925232537005,0.298263425153949,0.6288437585186781,22.46272360895824,0.0,2023,No Pressure
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,Technology / Software / Electronics,2021,0.4958076186851218,-0.0409198971716152,-0.1174120458315784,20.716352999246528,1.0,2022,Pressure
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,Technology / Software / Electronics,2022,0.4131265928151272,0.0020496830022056,-0.0694144237710261,20.69722674428348,1.0,2023,Pressure
0000023217,CONAGRA BRANDS INC.,Industrial / Manufacturing,2021,0.6111211231054804,0.0661437402007605,,23.82315990802764,,2022,Unknown
0000023217,CONAGRA BRANDS INC.,Industrial / Manufacturing,2022,0.6049850457541976,0.0524758079972899,,23.833892533730147,,2023,Unknown
0000024545,MOLSON COORS BEVERAGE CO,Industrial / Manufacturing,2021,0.5052644918353307,0.0569716499511206,0.116820215423417,24.04176977866024,0.0,2022,No Pressure
0000024545,MOLSON COORS BEVERAGE CO,Industrial / Manufacturing,2022,0.500732556835973,0.0580633439383337,0.0122974819441733,23.97628411784251,0.0,2023,No Pressure
0000024741,CORNING INC /NY,Industrial / Manufacturing,2021,0.5839689593420442,0.1131524839158983,0.149978696207925,24.1295834213363,0.0,2022,No Pressure
0000024741,CORNING INC /NY,Industrial / Manufacturing,2022,0.5838841994643886,0.0886470727821282,0.101346113186271,24.10762220144644,0.0,2023,No Pressure
0000025445,CRANE CO /DE/,Industrial / Manufacturing,2021,,0.1040208621227655,0.1579559748427673,22.22436101376637,0.0,2022,No Pressure
0000025445,"CRANE HOLDINGS, CO.",Industrial / Manufacturing,2022,,-0.0345314564256753,0.1094847254733473,22.20264062131009,0.0,2023,No Pressure
0000026058,CTS CORP,Technology / Software / Electronics,2021,0.3023257913921338,0.1296402202082286,0.1491036701272115,20.31448825013335,0.0,2022,No Pressure
0000026058,CTS CORP,Technology / Software / Electronics,2022,0.3236702841866325,0.1619226519632271,0.1584782975417001,20.433564394939687,0.0,2023,No Pressure
0000026172,CUMMINS INC,Technology / Software / Electronics,2021,0.6035006326444539,0.09514972585407,0.1126514299987511,23.889162737065902,0.0,2022,No Pressure
0000026172,CUMMINS INC,Technology / Software / Electronics,2022,0.6625301165054952,0.0647546123634443,0.1043314098454085,24.134380545649787,0.0,2023,No Pressure
0000026324,CURTISS WRIGHT CORP,Technology / Software / Electronics,2021,0.5548994832516763,0.0944714874577956,0.1527109086403416,22.135117071465928,0.0,2022,No Pressure
0000026324,CURTISS WRIGHT CORP,Technology / Software / Electronics,2022,0.5522927668586988,0.0662477228300418,0.1655998670329777,22.216080491147217,0.0,2023,No Pressure
0000026780,DANA INC,Industrial / Manufacturing,2021,0.7152777777777778,0.0207023060796645,0.0441587479038569,22.755615771223425,0.0,2022,No Pressure
0000026780,DANA INC,Industrial / Manufacturing,2022,0.7586253188347429,0.0871257886964693,0.0084679007483261,22.731345632274795,0.0,2023,No Pressure
0000027419,TARGET CORP,Consumer / Retail,2021,,0.160283213469365,0.0843922456487901,24.70874374419998,0.0,2022,No Pressure
0000027419,TARGET CORP,Consumer / Retail,2022,,0.0753351457766944,0.0352639296187683,24.699858613042608,0.0,2023,No Pressure
0000027996,DELUXE CORP,Industrial / Manufacturing,2021,,0.0685734117794003,0.0702968108448385,21.846370393259136,0.0,2022,No Pressure
0000027996,DELUXE CORP,Industrial / Manufacturing,2022,,0.0622557305006955,0.0757127984235995,21.847064925342604,0.0,2023,No Pressure
0000028823,"DIEBOLD NIXDORF, INC",Technology / Software / Electronics,2021,,0.03515625,0.0351070367714841,21.978083835563044,1.0,2022,Pressure
0000028823,"DIEBOLD NIXDORF, INC",Technology / Software / Electronics,2022,,-0.126557911908646,-0.0611725951397116,21.84331340666085,0.0,2023,No Pressure
0000028917,"DILLARD'S, INC.",Consumer / Retail,2021,,0.3943914711712042,,21.90055282137092,,2022,Unknown
0000028917,"DILLARD'S, INC.",Consumer / Retail,2022,,0.2848748178964601,,21.92598285340072,,2023,Unknown
0000029002,DIODES INC /DEL/,Technology / Software / Electronics,2021,0.4063672963483626,0.1542692054436214,0.1528865553340919,21.50921778912232,0.0,2022,No Pressure
0000029002,DIODES INC /DEL/,Technology / Software / Electronics,2022,0.3082591010316775,0.1715242501896594,0.2040373291745393,21.551080265240653,0.0,2023,No Pressure
0000029332,DIXIE GROUP INC,Industrial / Manufacturing,2021,0.7181516694338405,-0.028191202510414,0.0293072173528265,19.277217229373534,1.0,2022,Pressure
0000029332,DIXIE GROUP INC,Industrial / Manufacturing,2022,0.8447173139652913,-0.0862101248608004,-0.092749612939355,19.128450496694366,0.0,2023,No Pressure
0000029534,DOLLAR GENERAL CORP,Consumer / Retail,2021,,0.1088529120511121,0.0941155097059071,23.993874957425422,0.0,2022,No Pressure
0000029534,DOLLAR GENERAL CORP,Consumer / Retail,2022,,0.0682367691471211,0.0879459386601558,24.09343226698768,0.0,2023,No Pressure
0000029644,DONALDSON CO INC,Technology / Software / Electronics,2021,0.5262478126822765,0.1674443796350304,0.134797995725148,21.598817904578247,0.0,2022,No Pressure
0000029644,DONALDSON CO INC,Technology / Software / Electronics,2022,0.5642041302926586,0.0972195515902011,0.1341256880179036,21.678892660317512,0.0,2023,No Pressure
0000029669,RR DONNELLEY & SONS CO,Industrial / Manufacturing,2021,1.0526601520086862,0.0294117647058823,0.0329391381429175,21.864746026161043,,2022,Unknown
0000029905,DOVER CORP,Technology / Software / Electronics,2021,,0.1072573055531498,0.1620709336353074,23.065420332390712,0.0,2022,No Pressure
0000029905,DOVER CORP,Technology / Software / Electronics,2022,,0.0739432473801954,0.1621198558359998,23.11170921746956,0.0,2023,No Pressure
0000029989,OMNICOM GROUP INC.,Technology / Software / Electronics,2021,,0.0684474593445876,0.1538133161644296,24.07042229332403,0.0,2022,No Pressure
0000029989,OMNICOM GROUP INC.,Technology / Software / Electronics,2022,,0.0343116378113137,0.1457964462422405,24.019195291293936,0.0,2023,No Pressure
0000030305,DUCOMMUN INC /DE/,Industrial / Manufacturing,2021,0.5150863103904529,-0.0005772757692327,0.0757360015989761,20.70177148050308,0.0,2022,No Pressure
0000030305,DUCOMMUN INC /DE/,Industrial / Manufacturing,2022,0.4851131564572308,0.031991980468054,0.0558399072609562,20.74454384689877,0.0,2023,No Pressure
0000030625,FLOWSERVE CORP,Technology / Software / Electronics,2021,,0.0526592035653109,0.07646269761032,22.28136161190542,0.0,2022,No Pressure
0000030625,FLOWSERVE CORP,Technology / Software / Electronics,2022,,-0.0083517129465536,0.0545539290535307,22.289928598900705,0.0,2023,No Pressure
0000030697,WENDY'S CO,Consumer / Retail,2021,0.9144537244841652,0.0677799447248799,0.1934424812255996,22.35277908478257,0.0,2022,No Pressure
0000030697,WENDY'S CO,Consumer / Retail,2022,0.9153135355780616,0.0472609096648618,0.1686056583019367,22.427894649525847,0.0,2023,No Pressure
0000031107,EASTERN CO,Industrial / Manufacturing,2021,0.569696533348883,-0.029127225699303,0.0707714839043523,19.40024270428784,0.0,2022,No Pressure
0000031107,EASTERN CO,Industrial / Manufacturing,2022,0.5158564293646747,0.0280217995177503,0.0507271251099841,19.382032921720093,0.0,2023,No Pressure
0000031235,EASTMAN KODAK CO,Industrial / Manufacturing,2021,0.5499769691386458,-0.0216490096729617,-0.04,21.498453728303183,1.0,2022,Pressure
0000031235,EASTMAN KODAK CO,Industrial / Manufacturing,2022,0.4555798687089715,-0.0507658643326039,-0.0215767634854771,21.549631861730216,0.0,2023,No Pressure
0000031462,ECOLAB INC.,Industrial / Manufacturing,2021,0.6579758940697148,0.0972300814848347,0.1255468032136714,23.777568859905337,0.0,2022,No Pressure
0000031462,ECOLAB INC.,Industrial / Manufacturing,2022,0.6618291768191835,0.0833197448787055,0.110129829853818,23.789656926910187,0.0,2023,No Pressure
0000031667,EDUCATIONAL DEVELOPMENT CORP,Consumer / Retail,2021,0.5746026923500255,-0.1923277393556298,,18.515388023867253,,2022,Unknown
0000031791,PERKINELMER INC,Industrial / Manufacturing,2021,0.5239345826827463,0.0940465265482861,0.2629432726636905,23.4313529707666,0.0,2022,No Pressure
0000031791,PERKINELMER INC,Industrial / Manufacturing,2022,0.4774981059607476,0.0481116048253856,0.2242569196049787,23.371555771806754,0.0,2023,No Pressure
0000032604,EMERSON ELECTRIC CO,Technology / Software / Electronics,2021,,0.1446489985838559,,23.9306761837458,,2022,Unknown
